id;brand_name;device_type;model_name;color;selling_price;original_price;display;rating;strap_material;average_battery_life_days;reviews
283;FOSSIL;Smartwatch;FTW1142 Q Hybrid;Silver;9796;13995;AMOLED Display;3.7;Stainless Steel;2;
284;FOSSIL;Smartwatch;Jacqueline Hybrid;Navy;8995;13495;AMOLED Display;4;Leather;12;
285;FOSSIL;Smartwatch;Gen 3 Q Explorist;Blue;15034;15034;AMOLED Display;4.3;Stainless Steel;2;
286;FOSSIL;Smartwatch;Gen 5 Julianna HR;White;14995;22995;AMOLED Display;4.3;Stainless Steel;2;
287;FOSSIL;Smartwatch;Cameron Hybrid Smartwatch;Blue;13495;13495;AMOLED Display;4.6;Leather;12;
288;FOSSIL;Smartwatch;Gen 3 Q Venture;Silver;19995;19995;AMOLED Display;4.3;Stainless Steel;1;78
289;FOSSIL;Smartwatch;Jacqueline Hybrid;Black;11995;11995;AMOLED Display;4.6;Leather;12;
290;FOSSIL;Smartwatch;Q Annette;Silver;6995;11995;AMOLED Display;4.6;Silicone;1;
291;FOSSIL;Smartwatch;Sport 43;Blue;9995;17995;AMOLED Display;4;Silicone;2;
292;FOSSIL;Smartwatch;Sport 41;Blue, Black, Gray;17995;17995;AMOLED Display;4;Silicone;2;55
293;FOSSIL;Smartwatch;Gen 3 Q Explorist;Grey;21995;21995;AMOLED Display;4.4;Stainless Steel;2;
294;FOSSIL;Smartwatch;Marshall;Silver;18995;18995;AMOLED Display;4;Stainless Steel;1;
295;FOSSIL;Smartwatch;Q Jacqueline;Gold;13495;13495;AMOLED Display;4.4;Silicone;1;
296;FOSSIL;Smartwatch;Garrett;Brown;8995;11995;AMOLED Display;3.7;Leather;1;
297;FOSSIL;Smartwatch;Machine Hybrid;Silver, Brown;11995;11995;AMOLED Display;4.6;Stainless Steel;12;
298;FOSSIL;Smartwatch;Sloan HR;Black;24495;24495;AMOLED Display;4.1;Silicone;14;
299;FOSSIL;Smartwatch;Sloan HR;Blue;21995;21995;AMOLED Display;4.1;Silicone;14;
300;FOSSIL;Smartwatch;Garrett Hybrid;Silver;10496;14995;AMOLED Display;3.7;Stainless Steel;12;
301;FOSSIL;Smartwatch;4th Gen Venture HR;Black;13195;21995;AMOLED Display;3.9;Stainless Steel;14;46
302;FOSSIL;Smartwatch;Gen 3 Q Explorist;Silver;3999;19995;AMOLED Display;4.2;Stainless Steel;2;
303;FOSSIL;Smartwatch;Charter Hybrid HR;Silver;12396;14995;AMOLED Display;3.9;Leather;12;6
304;FOSSIL;Smartwatch;Q Wander;Silver;11997;19995;AMOLED Display;4.1;Stainless Steel;1;
305;FOSSIL;Smartwatch;Neely;White;8995;13495;AMOLED Display;4.7;Leather;1;
306;FOSSIL;Smartwatch;Rose Gold Smart;Rose Gold;21995;21995;AMOLED Display;4.6;Stainless Steel;3;
307;FOSSIL;Smartwatch;Q Founder 2.0;Blue;11397;18995;AMOLED Display;4.1;Stainless Steel;1;61
308;FOSSIL;Smartwatch;FTW1159 Hybrid;Gold;8995;12995;AMOLED Display;5;Stainless Steel;2;
309;FOSSIL;Smartwatch;Q Wander;Silver;3799;18995;AMOLED Display;4;Stainless Steel;1;
310;FOSSIL;Smartwatch;FTW4010 Gold HR;Gold;15995;15995;AMOLED Display;4.8;Stainless Steel;6;
311;FOSSIL;Smartwatch;FTW6009 Black HR;Black;13995;13995;AMOLED Display;4.1;Leather;14;
312;FOSSIL;Smartwatch;Eleanor Hybrid;Brown, Gold;6995;11995;AMOLED Display;4.6;Stainless Steel;12;
313;FOSSIL;Smartwatch;FTW1146 Q Hybrid;Gold;11995;11995;AMOLED Display;4.6;Leather;2;
314;FOSSIL;Smartwatch;Jacqueline Hybrid;Blue;6995;11995;AMOLED Display;4.6;Leather;12;
315;FOSSIL;Smartwatch;FTW20013 Q;Black;21495;21495;AMOLED Display;4.6;Leather;2;
316;FOSSIL;Smartwatch;FTW5016 Hybrid;Silver;6995;14495;AMOLED Display;4.6;Stainless Steel;2;
317;FOSSIL;Smartwatch;FTW5017 Hybrid;Gold;14495;14495;AMOLED Display;4.6;Stainless Steel;2;
318;FOSSIL;Smartwatch;FTW1141 Q Hybrid;Silver;6995;11995;AMOLED Display;4.6;Stainless Steel;2;
319;FOSSIL;Smartwatch;Sport;Black;17995;17995;AMOLED Display;4.6;Silicone;2;
320;FOSSIL;Smartwatch;FTW5003 Hybrid;Gold;12995;12995;AMOLED Display;4.6;Stainless Steel;2;
321;FOSSIL;Smartwatch;Jacqueline Hybrid;Silver;13495;13495;AMOLED Display;4.6;Leather;12;
322;FOSSIL;Smartwatch;Commuter Hybrid;Brown;8995;11995;AMOLED Display;4.6;Leather;12;
323;FOSSIL;Smartwatch;Q MACHINE;Grey;6995;6995;AMOLED Display;4.6;Stainless Steel;1;
324;FOSSIL;Smartwatch;FB-01 Hybrid;Blue, Silver;8995;13495;AMOLED Display;3.9;Silicone;14;
325;FOSSIL;Smartwatch;Q Jacqueline;Silver;8995;13495;AMOLED Display;4.4;Silicone;1;
326;FOSSIL;Smartwatch;Q GRANT;Grey;6995;6995;AMOLED Display;4.6;Stainless Steel;7;
327;FOSSIL;Smartwatch;FTW2114 Q;Black;18995;18995;AMOLED Display;4.6;Stainless Steel;2;
328;FOSSIL;Smartwatch;FTW1140 Q Hybrid;Blue;6995;13995;AMOLED Display;3.8;Stainless Steel;2;
329;FOSSIL;Smartwatch;Garrett HR;Grey;14995;22995;AMOLED Display;4.1;Leather;14;
330;FOSSIL;Smartwatch;FTW1134 Q Hybrid;Gray;11995;11995;AMOLED Display;4.6;Stainless Steel;2;
331;FOSSIL;Smartwatch;Carlie Hybrid;Black;6995;11995;AMOLED Display;4.6;Stainless Steel;12;
332;FOSSIL;Smartwatch;Q Control;multicolor;15995;15995;AMOLED Display;4.3;Silicone;1;
333;FOSSIL;Smartwatch;Q Control;Brown;15995;15995;AMOLED Display;4.3;Silicone;1;
334;FOSSIL;Smartwatch;FTW1144 Q Hybrid;Black;8995;13995;AMOLED Display;4.6;Leather;2;
335;FOSSIL;Smartwatch;Rose Gold HR;Rose Gold;21995;21995;AMOLED Display;2.8;Stainless Steel;3;
336;FOSSIL;Smartwatch;5th Gen Julianna;Black;15995;22995;AMOLED Display;4.6;Stainless Steel;1;
337;FOSSIL;Smartwatch;Q Venture;White;4399;21995;AMOLED Display;3.8;Leather;1;46
338;FOSSIL;Smartwatch;Q Machine;Black;10796;13495;AMOLED Display;4.6;Stainless Steel;1;
339;FOSSIL;Smartwatch;FTW1145 Q Hybrid;Gray;6995;13995;AMOLED Display;4.6;Leather;2;
340;FOSSIL;Smartwatch;FTW5011 Hybrid;Black;8995;14495;AMOLED Display;4.8;Leather;2;
341;FOSSIL;Smartwatch;FTW2120SET Q;Gray;23995;23995;AMOLED Display;4.6;Leather;2;
342;FOSSIL;Smartwatch;FTW1136 Q Hybrid;Blue;11995;11995;AMOLED Display;4.6;Leather;2;
343;FOSSIL;Smartwatch;Q Venture;Beige;15995;15995;AMOLED Display;4.6;Leather;1;46
344;FOSSIL;Smartwatch;FTW2115 Q Watch;Red;18995;18995;AMOLED Display;4.6;Stainless Steel;2;
345;FOSSIL;Smartwatch;FTW6010 Pink HR;Pink;15995;15995;AMOLED Display;4.4;Stainless Steel;14;
346;FOSSIL;Smartwatch;Q ACTIVIST;Brown;6995;6995;AMOLED Display;3;leather;1;
347;FOSSIL;Smartwatch;Carlie Hybrid;Silver;8995;13495;AMOLED Display;4.6;Stainless Steel;12;
348;FOSSIL;Smartwatch;FTW1154 Hybrid;Black;8995;12995;AMOLED Display;4.3;Stainless Steel;2;
349;FOSSIL;Smartwatch;FTW5015 Hybrid;Blue;6995;14495;AMOLED Display;3;Stainless Steel;2;
350;FOSSIL;Smartwatch;Sport;Grey;17995;17995;AMOLED Display;4.6;Silicone;2;
351;FOSSIL;Smartwatch;Sloan HR;Gold;21995;21995;AMOLED Display;4.1;Silicone;14;
352;FOSSIL;Smartwatch;Q GRANT;Black;6995;6995;AMOLED Display;4.6;Stainless Steel;7;
353;FOSSIL;Smartwatch;Sport 41;Red, Green;9995;17995;AMOLED Display;4;Silicone;2;
354;FOSSIL;Smartwatch;FTW6006 Gold HR;Gold;21995;21995;AMOLED Display;3.7;Stainless Steel;6;
355;APPLE;Smartwatch;Series 3 GPS - 42 mm Space Grey Aluminium Case;Black;18900;23900;OLED Retina Display;4.6;Aluminium;1;
356;APPLE;Smartwatch;SE 44 mm Space Grey Aluminium Case;Black;30400;32900;OLED Retina Display;4.7;Aluminium;1;
357;APPLE;Smartwatch;Series 3 GPS - 38 mm Space Grey Aluminium Case;Black;16900;20900;OLED Retina Display;4.6;Aluminium;1;
358;APPLE;Smartwatch;SE GPS + Cellular 44 mm Aluminium Case;Black;36900;36900;OLED Retina Display;4.6;Aluminium;1;
359;APPLE;Smartwatch;SE GPS + Cellular 40 mm Space Grey Aluminium Case;Charcoal;31400;33900;OLED Retina Display;4.6;Aluminium;1;
360;APPLE;Smartwatch;SE 40 mm Space Grey Aluminium Case;Black, Pink, White;27400;29900;OLED Retina Display;4.7;Aluminium;1;
361;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Red Aluminium Case;Red;45690;49900;OLED Retina Display;4.5;Aluminium;1;
362;APPLE;Smartwatch;SE 44 mm Gold Aluminium Case;Pink Sand;30400;32900;OLED Retina Display;4.7;Aluminium;1;
363;APPLE;Smartwatch;SE GPS + Cellular 40 mm Gold Aluminium Case;Plum;31400;33900;OLED Retina Display;4.6;Aluminium;1;
364;APPLE;Smartwatch;SE GPS + Cellular 40 mm Aluminium Case;Black;33900;33900;OLED Retina Display;4.6;Aluminium;1;
365;APPLE;Smartwatch;Series 6 GPS 40 mm Silver Aluminium Case;White;37490;40900;OLED Retina Display;4.5;Aluminium;1;
366;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Blue Aluminium Case;Deep Navy;45690;49900;OLED Retina Display;4.5;Aluminium;1;
367;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Graphite Stainless Steel Case;Graphite Milanese;67900;73900;OLED Retina Display;4.5;Stainless Steel;1;
368;APPLE;Smartwatch;Series 6 GPS 44 mm Red Aluminium Case;Red;40190;43900;OLED Retina Display;4.5;Aluminium;1;
369;APPLE;Smartwatch;SE GPS 44 mm Aluminium Case;Black;32900;32900;OLED Retina Display;4.7;Aluminium;1;
370;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Space Grey Aluminium Case;black;45690;49900;OLED Retina Display;4.5;Aluminium;1;
371;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Space Grey Aluminium Case;White;69900;69900;OLED Retina Display;4.2;Aluminium;1;
372;APPLE;Smartwatch;Series 5 GPS + Cellular 40 mm Space Black Stainless Steel Case;Black Milanese;69900;69900;OLED Retina Display;4.6;Stainless Steel;1;
373;APPLE;Smartwatch;Series 5 GPS + Cellular 44 mm Gold Stainless Steel Case;Gold Milanese;73900;73900;OLED Retina Display;4.2;Stainless Steel;1;
374;APPLE;Smartwatch;Series 6 GPS 44 mm Blue Aluminium Case;Deep Navy;43900;43900;OLED Retina Display;4.5;Aluminium;1;
375;APPLE;Smartwatch;Series 6 GPS + Cellular 44 mm Silver Aluminium Case;White;48490;52900;OLED Retina Display;4.5;Aluminium;1;
376;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Gold Aluminium Case;Pink Sand;45690;49900;OLED Retina Display;4.5;Aluminium;1;
377;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Gold Stainless Steel Case;Cyprus Green;69900;69900;OLED Retina Display;4.5;Stainless Steel;1;
378;APPLE;Smartwatch;Series 5 GPS + Cellular 40 mm Stainless Steel Case;White;65900;65900;OLED Retina Display;3.4;Stainless Steel;1;
379;APPLE;Smartwatch;Series 5 GPS + Cellular 44 mm Gold Aluminium Case;Pink Sand;52900;52900;OLED Retina Display;4.7;Aluminium;1;
380;APPLE;Smartwatch;Series 5 GPS + Cellular 44 mm Space Grey Aluminium Case;Black;52900;52900;OLED Retina Display;4.7;Aluminium;1;
381;APPLE;Smartwatch;Series 2 - 38 mm Stainless Steel Case;Saddle Brown;56900;56900;OLED Retina Display;4.6;Stainless Steel;1;
382;APPLE;Smartwatch;Series 2 - 42 mm Stainless Steel Case;White;50400;50400;OLED Retina Display;4.7;Stainless Steel;1;
383;APPLE;Smartwatch;Series 2 - 42 mm Space Black Stainless Steel Case;Space Black;50400;50400;OLED Retina Display;4.7;Stainless Steel;1;
384;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Red Aluminium Case;Red;45690;49900;OLED Retina Display;4.5;Aluminium;1;
385;APPLE;Smartwatch;Series 5 GPS + Cellular 40 mm Space Grey Aluminium Case;Black;39990;49900;OLED Retina Display;4.5;Aluminium;1;
386;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Silver Aluminium Case;White;45690;49900;OLED Retina Display;4.5;Aluminium;1;
387;APPLE;Smartwatch;Series 6 GPS + Cellular 40 mm Gold Stainless Steel Case;Gold Milanese;67900;73900;OLED Retina Display;4.5;Stainless Steel;1;
388;APPLE;Smartwatch;SE GPS 40 mm Aluminium Case;Black;29900;29900;OLED Retina Display;4.7;Aluminium;1;
389;APPLE;Smartwatch;Series 5 GPS + Cellular 44 mm Stainless Steel Case;Stainless Steel Milanese;73900;73900;OLED Retina Display;4.2;Stainless Steel;1;
390;APPLE;Smartwatch;Series 5 GPS + Cellular 44 mm Gold Stainless Steel Case;Stone;69900;69900;OLED Retina Display;4.2;Stainless Steel;1;
391;APPLE;Smartwatch;Series 5 GPS 40 mm Silver Aluminium Case;White;40900;40900;OLED Retina Display;4.7;Aluminium;1;
392;APPLE;Smartwatch;Series 6 GPS 44 mm Blue Aluminium Case;Deep Navy;43900;43900;OLED Retina Display;4.5;Aluminium;1;
393;APPLE;Smartwatch;Series 7 GPS 45 mm;Black;44900;44900;OLED Retina Display;5;Silicone;1;
394;APPLE;Smartwatch;SE GPS + Cellular 44 mm Space Grey Aluminium Case;Charcoal;33900;36900;OLED Retina Display;4.6;Aluminium;1;
395;APPLE;Smartwatch;SE GPS + Cellular 40 mm Space Grey Aluminium Case;Black;31400;33900;OLED Retina Display;4.6;Aluminium;1;
396;APPLE;Smartwatch;Series 6 GPS + Cellular 44 mm Space Grey Aluminium Case;Black;48490;52900;OLED Retina Display;4.5;Aluminium;1;
397;APPLE;Smartwatch;Series 7 GPS + Cellular 41 mm Aluminium;Black;50900;50900;OLED Retina Display;4.6;Aluminium;1;
398;APPLE;Smartwatch;Series 7 GPS + Cellular, 45 mm Aluminium;Black;53900;53900;OLED Retina Display;4.6;Aluminium;1;
399;APPLE;Smartwatch;SE GPS + Cellular 40 mm Silver Aluminium Case;White;31400;33900;OLED Retina Display;4.6;Aluminium;1;
400;APPLE;Smartwatch;Series 6 GPS 40 mm Blue Aluminium Case;Deep Navy;37490;40900;OLED Retina Display;4.5;Aluminium;1;
401;APPLE;Smartwatch;SE GPS + Cellular 40 mm Silver Aluminium Case;Deep Navy;31400;33900;OLED Retina Display;4.6;Aluminium;1;
402;APPLE;Smartwatch;Series 6 GPS 40 mm Gold Aluminium Case;Pink Sand;37490;40900;OLED Retina Display;4.5;Aluminium;1;
403;APPLE;Smartwatch;SE GPS + Cellular 44 mm Space Grey Aluminium Case;Black;33900;36900;OLED Retina Display;4.6;Aluminium;1;
404;APPLE;Smartwatch;SE GPS + Cellular 40 mm Gold Aluminium Case;Pink Sand;31400;33900;OLED Retina Display;4.6;Aluminium;1;
405;APPLE;Smartwatch;Series 6 GPS + Cellular 44 mm Red Aluminium Case;Red;48490;52900;OLED Retina Display;4.5;Aluminium;1;
406;APPLE;Smartwatch;Series 6 GPS 40 mm Space Grey Aluminium Case;Black;37490;40900;OLED Retina Display;4.5;Aluminium;1;
407;APPLE;Smartwatch;Series 6 GPS + Cellular 44 mm Silver Stainless Steel Case;Silver Milanese;77900;77900;OLED Retina Display;4.5;Stainless Steel;1;
408;APPLE;Smartwatch;Nike Series 5 GPS + Cellular 44 mm;Black;52900;52900;OLED Retina Display;4.7;Silicone;1;
409;APPLE;Smartwatch;Series 6 GPS + Cellular 44 mm Blue Aluminium Case;Deep Navy;48490;52900;OLED Retina Display;4.5;Aluminium;1;
410;APPLE;Smartwatch;SE GPS + Cellular 40 mm Gold Aluminium Case;Silver Milanese;67900;73900;OLED Retina Display;4.5;Aluminium;1;
411;APPLE;Smartwatch;SE GPS + Cellular 44 mm Gold Aluminium Case;Pink Sand;33900;36900;OLED Retina Display;4.6;Aluminium;1;
412;APPLE;Smartwatch;SE GPS + Cellular 44 mm Silver Aluminium Case;Deep Navy;33900;36900;OLED Retina Display;4.6;Aluminium;1;
413;APPLE;Smartwatch;Series 6 GPS 44 mm Space Grey Aluminium Case;Black;40190;43900;OLED Retina Display;4.5;Aluminium;1;
414;APPLE;Smartwatch;SE GPS + Cellular 44 mm Silver Aluminium Case;White;33900;36900;OLED Retina Display;4.6;Aluminium;1;
415;APPLE;Smartwatch;Series 6 GPS 44 mm Silver Aluminium Case;White;43900;43900;OLED Retina Display;4.5;Aluminium;1;
416;APPLE;Smartwatch;Series 6 GPS + Cellular 44 mm Graphite Stainless Steel Case;Black;67900;73900;OLED Retina Display;4.5;Stainless Steel;1;
417;APPLE;Smartwatch;SE GPS + Cellular 44 mm Gold Aluminium Case;Plum;33900;36900;OLED Retina Display;4.6;Aluminium;1;
418;APPLE;Smartwatch;SE GPS + Cellular 44 mm Gold Aluminium Case;Pink Sand;43900;43900;OLED Retina Display;4.5;Aluminium;1;
419;APPLE;Smartwatch;Series 5 GPS + Cellular 44 mm Space Black Stainless Steel Case;Black;69900;69900;OLED Retina Display;4.2;Stainless Steel;1;
420;APPLE;Smartwatch;42 mm White Ceramic Case with Cloud Sport;Cloud;114900;114900;OLED Retina Display;4.7;Nylon;1;
421;APPLE;Smartwatch;Series 7 GPS 41 mm Aluminium Case;Black;41900;41900;OLED Retina Display;5;Aluminium;1;
422;APPLE;Smartwatch;38 mm Space Black Stainless Steel Case;Black;48900;48900;OLED Retina Display;4.6;Stainless Steel;1;
423;APPLE;Smartwatch;Series 7 GPS + Cellular, 45 mm Stainless Steel;Black;77900;77900;OLED Retina Display;4.6;Stainless Steel;1;
424;APPLE;Smartwatch;Sport 42 mm Space Grey Aluminium Case;Black;29900;29900;OLED Retina Display;4.6;Aluminium;1;
425;APPLE;Smartwatch;Series 7 GPS + Cellular, 45 mm Stainless Steel;Black;73900;73900;OLED Retina Display;4.6;Stainless Steel;1;
426;APPLE;Smartwatch;8 mm Stainless Steel Case;Milanese;56900;56900;OLED Retina Display;4.6;Stainless Steel;1;
427;APPLE;Smartwatch;Series 7 GPS + Cellular, 41 mm Stainless Steel;Black;73900;73900;OLED Retina Display;4.6;Stainless Steel;1;
428;APPLE;Smartwatch;42 mm Black Stainless Steel Case with Link Bracelet;Black;79900;79900;OLED Retina Display;4.6;Stainless Steel;1;
429;APPLE;Smartwatch;42 mm Space Gray Aluminium;Black Woven;29900;29900;OLED Retina Display;4.5;Aluminium;1;
430;APPLE;Smartwatch;Series 1 - 38 mm Silver Aluminium Case;White;21900;21900;OLED Retina Display;4.6;Aluminium;1;
431;APPLE;Smartwatch;Series 3 GPS + Cellular- 42 mm Gray Ceramic Case;Black;122090;122090;OLED Retina Display;4.6;Nylon;1;
432;APPLE;Smartwatch;42 mm Stainless Steel Case;Leather;60900;60900;OLED Retina Display;4.5;Stainless Steel;1;
433;APPLE;Smartwatch;Series 1 - 42 mm Gold Aluminium Case;Cocoa;25900;25900;OLED Retina Display;4.6;Aluminium;1;
434;APPLE;Smartwatch;2 - 42 mm Silver Aluminium Case;Pearl Woven;34900;34900;OLED Retina Display;4.7;Aluminium;1;
435;APPLE;Smartwatch;Nike+ GPS - 42 mm Space Gray Aluminium Case;Black;32380;32380;OLED Retina Display;4.6;Aluminium;1;
436;APPLE;Smartwatch;Series 3 GPS + Cellular- 42 mm White Ceramic Case;Black;122090;122090;OLED Retina Display;4.6;Nylon;1;
437;APPLE;Smartwatch;38 mm Stainless Steel Stainless Steel Case with Modern Buckle;Black;64900;64900;OLED Retina Display;4.3;Stainless Steel;1;
438;APPLE;Smartwatch;8 mm Stainless Steel Case;Saddle Brown;56900;56900;OLED Retina Display;4.3;Stainless Steel;1;
439;APPLE;Smartwatch;series 2 - 38 mm Stainless Steel Case;Blue Modern;64900;64900;OLED Retina Display;4.6;Stainless Steel;1;
440;APPLE;Smartwatch;Nike+ - 38 mm Space Gray Aluminium Case;Black;31600;31600;OLED Retina Display;4.5;Aluminium;1;
441;GARMIN;Smartwatch;Venu Sq - Music Edition;Multicolor, White, Brown;20990;25990;AMOLED Display;4.3;Silicone;7;
442;GARMIN;Smartwatch;Venu Sq;Grey, White;15990;20990;AMOLED Display;4.2;Silicone;7;
443;GARMIN;Smartwatch;Garmin Instinct Tactical;Black, Brown;19990;31490;AMOLED Display;4.7;Silicone;7;
