id_model,brand_name,device_type,model_name,color,selling_price,original_price,display,rating,strap_material,average_battery_life_days,reviews,sold
170,huami,Smartwatch,Amazfit Stratos,Black,12999,15999,AMOLED Display,4.2,Silicone,25,103,1260
171,huami,Smartwatch,Amazfit Bip Lite,Black,3499,5499,AMOLED Display,4,Thermoplastic polyurethane,7,125,1280
172,huami,Smartwatch,Amazfit Verge Lite,Black,5999,8999,AMOLED Display,4.2,Silicone,5,136,1300
173,huami,Smartwatch,Amazfit Bip,Grey,6399,7399,AMOLED Display,4.4,Silicone,28,176,1320
174,huami,Smartwatch,Bip Lite On,Black,7999,14999,AMOLED Display,4.1,Silicone,7,183,1340
239,FOSSIL,Smartwatch,Charter Hybrid HR,Gold,13196,16495,AMOLED Display,3.9,Leather,12,4,1360
243,FOSSIL,Smartwatch,Q Venture,Blue,19999,21995,AMOLED Display,3.8,Leather,1,54,1380
258,FOSSIL,Smartwatch,Charter Hybrid HR,Black,14021,16495,AMOLED Display,3.9,Leather,12,6,1400
264,FOSSIL,Smartwatch,Gen 3 Q Venture,"Black, Gold",15396,21995,AMOLED Display,4.3,Stainless Steel,1,7,1400
270,FOSSIL,Smartwatch,4th Gen Explorist HR,Grey,10998,21995,AMOLED Display,3.9,Stainless Steel,2,600,1400
273,FOSSIL,Smartwatch,Q Founder 2.0,Black,19995,19995,AMOLED Display,4.2,Stainless Steel,1,61,1460
276,FOSSIL,Smartwatch,4th Gen Venture HR,Black,17596,21995,AMOLED Display,3.9,Stainless Steel,14,46,1480
280,FOSSIL,Smartwatch,4th Gen Venture HR,Silver,10997,21995,AMOLED Display,3.9,Stainless Steel,14,46,1500
288,FOSSIL,Smartwatch,Gen 3 Q Venture,Silver,19995,19995,AMOLED Display,4.3,Stainless Steel,1,78,1520
292,FOSSIL,Smartwatch,Sport 41,"Blue, Black, Gray",17995,17995,AMOLED Display,4,Silicone,2,55,1540
301,FOSSIL,Smartwatch,4th Gen Venture HR,Black,13195,21995,AMOLED Display,3.9,Stainless Steel,14,46,1560
303,FOSSIL,Smartwatch,Charter Hybrid HR,Silver,12396,14995,AMOLED Display,3.9,Leather,12,6,1580
307,FOSSIL,Smartwatch,Q Founder 2.0,Blue,11397,18995,AMOLED Display,4.1,Stainless Steel,1,61,1600
337,FOSSIL,Smartwatch,Q Venture,White,4399,21995,AMOLED Display,3.8,Leather,1,46,1620
343,FOSSIL,Smartwatch,Q Venture,Beige,15995,15995,AMOLED Display,4.6,Leather,1,46,1640
